Stock_Price,Strike_Price,Time_to_Maturity,Interest_Rate,Option_Price,Option_Type,Volatility,Implied Volatility
73.54,70,35,0.0026,2.35,1,0.179067945,0.2246
73.54,50,63,0.0026,0.15,1,0.179067945,0.5752
73.54,52.5,63,0.0026,0.82,1,0.179067945,0.7158
73.54,55,63,0.0026,0.15,1,0.179067945,0.6145
73.54,57.5,63,0.0026,1.15,1,0.179067945,0.4238
73.54,60,63,0.0026,0.51,1,0.179067945,0.6157
73.54,62.5,63,0.0026,1.3,1,0.179067945,0.6111
73.54,65,63,0.0026,2.15,1,0.179067945,0.2678
73.54,67.5,63,0.0026,0.9,1,0.179067945,0.2288
73.54,70,63,0.0026,3.17,1,0.179067945,0.2107
73.54,55,154,0.0026,0.75,1,0.179067945,0.502
73.54,57.5,154,0.0026,1,1,0.179067945,0.3047
73.54,60,154,0.0026,1.35,1,0.179067945,0.4877
73.54,62.5,154,0.0026,1.65,1,0.179067945,0.3927
73.54,65,154,0.0026,2.5,1,0.179067945,0.2252
73.54,67.5,154,0.0026,3.6,1,0.179067945,0.2206
47.91,42.35,35,0.0026,1.9,0,0.140232219,0.8459
47.91,47.35,35,0.0026,0.2,0,0.140232219,0.3179
47.91,45,126,0.0026,1.15,0,0.140232219,0.3013
47.91,50,217,0.0026,1.15,0,0.140232219,0.1716
47.91,42.35,35,0.0026,0.5,1,0.140232219,0.3018
47.91,47.35,35,0.0026,2,1,0.140232219,0.2144
47.91,40,126,0.0026,0.7,1,0.140232219,0.3267
47.91,45,126,0.0026,1.05,1,0.140232219,0.241
47.91,45,217,0.0026,1.6,1,0.140232219,0.2293
62.22,62.5,0,0.0026,0.06,0,0.146026195,0.2441
62.22,65,0,0.0026,0.03,0,0.146026195,0.5547
62.22,67.5,0,0.0026,0.03,0,0.146026195,0.8594
62.22,50,35,0.0026,13.41,0,0.146026195,0.52
62.22,52.5,35,0.0026,9.05,0,0.146026195,0.4258
62.22,55,35,0.0026,9.1,0,0.146026195,0.332
62.22,57.5,35,0.0026,4.4,0,0.146026195,0.2368
62.22,60,35,0.0026,1.92,0,0.146026195,0.1543
62.22,62.5,35,0.0026,0.63,0,0.146026195,0.1353
62.22,65,35,0.0026,0.13,0,0.146026195,0.1431
62.22,67.5,35,0.0026,0.03,0,0.146026195,0.2022
62.22,70,35,0.0026,0.02,0,0.146026195,0.2305
62.22,72.5,35,0.0026,0.03,0,0.146026195,0.2559
62.22,75,35,0.0026,0.04,0,0.146026195,0.2988
62.22,80,35,0.0026,0.03,0,0.146026195,0.3789
62.22,42.5,126,0.0026,20.98,0,0.146026195,0.6113
62.22,50,126,0.0026,12.5,0,0.146026195,0.3503
62.22,55,126,0.0026,6.6,0,0.146026195,0.2587
62.22,57.5,126,0.0026,4.91,0,0.146026195,0.1921
62.22,60,126,0.0026,2.82,0,0.146026195,0.1516
62.22,62.5,126,0.0026,1.58,0,0.146026195,0.1448
62.22,65,126,0.0026,0.73,0,0.146026195,0.1404
62.22,67.5,126,0.0026,0.34,0,0.146026195,0.1621
62.22,70,126,0.0026,0.24,0,0.146026195,0.1792
62.22,72.5,126,0.0026,0.18,0,0.146026195,0.1963
62.22,75,126,0.0026,0.14,0,0.146026195,0.2156
62.22,80,126,0.0026,0.05,0,0.146026195,0.2393
62.22,30,182,0.0026,34.1,0,0.146026195,0.5767
62.22,35,182,0.0026,23.91,0,0.146026195,0.6209
62.22,40,182,0.0026,23.54,0,0.146026195,0.5005
62.22,42.5,182,0.0026,19.15,0,0.146026195,0.4451
62.22,45,182,0.0026,18.4,0,0.146026195,0.4285
62.22,47.5,182,0.0026,16.65,0,0.146026195,0.3471
62.22,50,182,0.0026,11.51,0,0.146026195,0.3023
62.22,52.5,182,0.0026,11.55,0,0.146026195,0.2617
62.22,55,182,0.0026,9.25,0,0.146026195,0.25
62.22,57.5,182,0.0026,4.9,0,0.146026195,0.16
62.22,60,182,0.0026,3.2,0,0.146026195,0.1473
62.22,62.5,182,0.0026,2.32,0,0.146026195,0.1438
62.22,65,182,0.0026,1.2,0,0.146026195,0.156
62.22,67.5,182,0.0026,0.55,0,0.146026195,0.155
62.22,70,182,0.0026,0.33,0,0.146026195,0.1633
62.22,72.5,182,0.0026,0.2,0,0.146026195,0.177
62.22,75,182,0.0026,0.2,0,0.146026195,0.1909
62.22,80,182,0.0026,0.09,0,0.146026195,0.1992
62.22,85,182,0.0026,0.05,0,0.146026195,0.2168
62.22,90,182,0.0026,0.1,0,0.146026195,0.2373
62.22,95,182,0.0026,0.1,0,0.146026195,0.2715
62.22,62.5,217,0.0026,2.34,0,0.146026195,0.158
62.22,65,217,0.0026,1.26,0,0.146026195,0.1572
62.22,67.5,217,0.0026,0.95,0,0.146026195,0.1538
62.22,70,217,0.0026,0.35,0,0.146026195,0.1521
62.22,72.5,217,0.0026,0.25,0,0.146026195,0.1687
62.22,30,553,0.0026,34.2,0,0.146026195,0.4739
62.22,40,553,0.0026,24.2,0,0.146026195,0.3152
62.22,42.5,553,0.0026,20.2,0,0.146026195,0.2848
62.22,45,553,0.0026,18.5,0,0.146026195,0.2553
62.22,47.5,553,0.0026,16.3,0,0.146026195,0.2294
62.22,50,553,0.0026,11.88,0,0.146026195,0.2136
62.22,52.5,553,0.0026,9.95,0,0.146026195,0.1974
62.22,55,553,0.0026,8.7,0,0.146026195,0.1883
62.22,57.5,553,0.0026,8.9,0,0.146026195,0.1816
62.22,60,553,0.0026,5.4,0,0.146026195,0.1679
62.22,62.5,553,0.0026,3.77,0,0.146026195,0.1586
62.22,65,553,0.0026,2.8,0,0.146026195,0.1644
62.22,67.5,553,0.0026,2.1,0,0.146026195,0.1567
62.22,70,553,0.0026,1.32,0,0.146026195,0.1488
62.22,72.5,553,0.0026,1.35,0,0.146026195,0.1544
62.22,75,553,0.0026,1.14,0,0.146026195,0.1549
62.22,80,553,0.0026,0.52,0,0.146026195,0.1736
62.22,85,553,0.0026,0.2,0,0.146026195,0.1813
62.22,57.5,0,0.0026,0.07,1,0.146026195,0.6563
62.22,60,0,0.0026,0.07,1,0.146026195,0.3399
62.22,62.5,0,0.0026,1.22,1,0.146026195,0.4727
62.22,65,0,0.0026,3.26,1,0.146026195,0.875
62.22,40,35,0.0026,0.03,1,0.146026195,0.5586
62.22,42.5,35,0.0026,0.02,1,0.146026195,0.5313
62.22,45,35,0.0026,0.02,1,0.146026195,0.4727
62.22,47.5,35,0.0026,0.06,1,0.146026195,0.457
62.22,50,35,0.0026,0.15,1,0.146026195,0.3799
62.22,52.5,35,0.0026,0.16,1,0.146026195,0.3047
62.22,55,35,0.0026,0.17,1,0.146026195,0.2715
62.22,57.5,35,0.0026,0.33,1,0.146026195,0.207
62.22,60,35,0.0026,0.82,1,0.146026195,0.1865
62.22,62.5,35,0.0026,2.08,1,0.146026195,0.1924
62.22,65,35,0.0026,3.69,1,0.146026195,0.2666
62.22,67.5,35,0.0026,5.9,1,0.146026195,0.3457
62.22,70,35,0.0026,8.5,1,0.146026195,0.4126
62.22,75,35,0.0026,14.36,1,0.146026195,0.5999
62.22,32.5,126,0.0026,0.04,1,0.146026195,0.4883
62.22,35,126,0.0026,0.14,1,0.146026195,0.4971
62.22,42.5,126,0.0026,0.28,1,0.146026195,0.3994
62.22,45,126,0.0026,0.27,1,0.146026195,0.3555
62.22,47.5,126,0.0026,0.29,1,0.146026195,0.3159
62.22,50,126,0.0026,0.35,1,0.146026195,0.2786
62.22,55,126,0.0026,0.75,1,0.146026195,0.2144
62.22,57.5,126,0.0026,1.21,1,0.146026195,0.2041
62.22,60,126,0.0026,2.07,1,0.146026195,0.2001
62.22,62.5,126,0.0026,3.35,1,0.146026195,0.2006
62.22,65,126,0.0026,4.9,1,0.146026195,0.219
62.22,67.5,126,0.0026,5.5,1,0.146026195,0.2321
62.22,70,126,0.0026,7.65,1,0.146026195,0.2633
62.22,72.5,126,0.0026,9.7,1,0.146026195,0.3079
62.22,95,126,0.0026,31.45,1,0.146026195,0.5537
62.22,30,182,0.0026,0.05,1,0.146026195,0.4873
62.22,32.5,182,0.0026,0.11,1,0.146026195,0.4717
62.22,35,182,0.0026,0.12,1,0.146026195,0.4722
62.22,40,182,0.0026,0.23,1,0.146026195,0.395
62.22,42.5,182,0.0026,0.3,1,0.146026195,0.3569
62.22,45,182,0.0026,0.4,1,0.146026195,0.3223
62.22,47.5,182,0.0026,0.4,1,0.146026195,0.2886
62.22,50,182,0.0026,0.45,1,0.146026195,0.2568
62.22,52.5,182,0.0026,0.69,1,0.146026195,0.2246
62.22,55,182,0.0026,1.02,1,0.146026195,0.2067
62.22,57.5,182,0.0026,1.59,1,0.146026195,0.1932
62.22,60,182,0.0026,2.44,1,0.146026195,0.1886
62.22,62.5,182,0.0026,3.55,1,0.146026195,0.1901
62.22,65,182,0.0026,5.84,1,0.146026195,0.1915
62.22,67.5,182,0.0026,6.4,1,0.146026195,0.2102
62.22,70,182,0.0026,9.05,1,0.146026195,0.2267
62.22,72.5,182,0.0026,9.9,1,0.146026195,0.2603
62.22,75,182,0.0026,12.25,1,0.146026195,0.2871
62.22,80,182,0.0026,16.8,1,0.146026195,0.3427
62.22,85,182,0.0026,23.9,1,0.146026195,0.3821
62.22,95,182,0.0026,32.85,1,0.146026195,0.4666
62.22,47.5,217,0.0026,0.5,1,0.146026195,0.2761
62.22,50,217,0.0026,0.7,1,0.146026195,0.2495
62.22,55,217,0.0026,1.28,1,0.146026195,0.2119
62.22,57.5,217,0.0026,1.95,1,0.146026195,0.2003
62.22,60,217,0.0026,2.76,1,0.146026195,0.1968
62.22,62.5,217,0.0026,3.25,1,0.146026195,0.198
62.22,30,553,0.0026,0.54,1,0.146026195,0.4241
62.22,32.5,553,0.0026,0.3,1,0.146026195,0.3897
62.22,35,553,0.0026,0.55,1,0.146026195,0.3237
62.22,37.5,553,0.0026,0.65,1,0.146026195,0.3262
62.22,40,553,0.0026,0.8,1,0.146026195,0.2955
62.22,42.5,553,0.0026,1.02,1,0.146026195,0.2752
62.22,45,553,0.0026,1.31,1,0.146026195,0.262
62.22,47.5,553,0.0026,1.35,1,0.146026195,0.2411
62.22,50,553,0.0026,2.09,1,0.146026195,0.2301
62.22,52.5,553,0.0026,2.39,1,0.146026195,0.2195
62.22,55,553,0.0026,3.21,1,0.146026195,0.2143
62.22,57.5,553,0.0026,4.05,1,0.146026195,0.2056
62.22,60,553,0.0026,5,1,0.146026195,0.1989
62.22,62.5,553,0.0026,5.7,1,0.146026195,0.1988
62.22,65,553,0.0026,7.4,1,0.146026195,0.1983
62.22,67.5,553,0.0026,12.45,1,0.146026195,0.1997
62.22,70,553,0.0026,10.98,1,0.146026195,0.207
62.22,75,553,0.0026,15,1,0.146026195,0.2233
62.22,80,553,0.0026,22.9,1,0.146026195,0.2772
19,19,0,0.0026,0.1,0,0.245222124,0.1875
19,19,35,0.0026,0.52,0,0.245222124,0.2637
19,20,35,0.0026,0.4,0,0.245222124,0.3604
19,17,63,0.0026,1.2,0,0.245222124,0.7422
19,18,63,0.0026,0.9,0,0.245222124,0.2559
19,19,63,0.0026,0.4,0,0.245222124,0.2451
19,20,63,0.0026,0.3,0,0.245222124,0.2529
19,18,154,0.0026,1.5,0,0.245222124,0.2651
19,19,154,0.0026,0.8,0,0.245222124,0.249
19,20,154,0.0026,0.45,0,0.245222124,0.2485
19,18,0,0.0026,0.35,1,0.245222124,0.9609
19,19,0,0.0026,0.4,1,0.245222124,0.3047
19,18,35,0.0026,0.5,1,0.245222124,0.3145
19,19,35,0.0026,0.65,1,0.245222124,0.2832
19,20,35,0.0026,1.1,1,0.245222124,0.9609
19,12,63,0.0026,0.3,1,0.245222124,0.6445
19,14,63,0.0026,0.2,1,0.245222124,0.5781
19,16,63,0.0026,0.35,1,0.245222124,0.4063
19,17,63,0.0026,0.45,1,0.245222124,0.3491
19,18,63,0.0026,0.75,1,0.245222124,0.2896
19,20,63,0.0026,2.05,1,0.245222124,0.3848
19,15,154,0.0026,0.25,1,0.245222124,0.4356
19,16,154,0.0026,0.55,1,0.245222124,0.3565
19,17,154,0.0026,0.6,1,0.245222124,0.3032
19,18,154,0.0026,0.8,1,0.245222124,0.2964
19,19,154,0.0026,1.25,1,0.245222124,0.2783
36.62,36,0,0.0026,0.32,0,0.188836262,0.6016
36.62,37,0,0.0026,0.06,0,0.188836262,0.3281
36.62,38,0,0.0026,0.01,0,0.188836262,0.7656
36.62,36,35,0.0026,0.92,0,0.188836262,0.1699
36.62,37,35,0.0026,0.35,0,0.188836262,0.1599
36.62,38,35,0.0026,0.4,0,0.188836262,0.1782
36.62,30,63,0.0026,6.6,0,0.188836262,0.6011
36.62,32,63,0.0026,3.9,0,0.188836262,0.3579
36.62,33,63,0.0026,2.6,0,0.188836262,0.3247
36.62,34,63,0.0026,3,0,0.188836262,0.3057
36.62,35,63,0.0026,1.7,0,0.188836262,0.1763
36.62,36,63,0.0026,1.3,0,0.188836262,0.1694
36.62,37,63,0.0026,0.67,0,0.188836262,0.1626
36.62,38,63,0.0026,0.69,0,0.188836262,0.165
36.62,39,63,0.0026,0.3,0,0.188836262,0.2112
36.62,40,63,0.0026,0.05,0,0.188836262,0.228
36.62,24,154,0.0026,12.15,0,0.188836262,0.648
36.62,29,154,0.0026,7.4,0,0.188836262,0.427
36.62,30,154,0.0026,5.91,0,0.188836262,0.3855
36.62,33,154,0.0026,3.8,0,0.188836262,0.2886
36.62,34,154,0.0026,3.14,0,0.188836262,0.2451
36.62,35,154,0.0026,1.9,0,0.188836262,0.1773
36.62,36,154,0.0026,1.72,0,0.188836262,0.1727
36.62,37,154,0.0026,1.15,0,0.188836262,0.1687
36.62,38,154,0.0026,0.95,0,0.188836262,0.1707
36.62,39,154,0.0026,0.88,0,0.188836262,0.1748
36.62,40,154,0.0026,0.5,0,0.188836262,0.1978
36.62,41,154,0.0026,0.3,0,0.188836262,0.2029
36.62,42,154,0.0026,0.2,0,0.188836262,0.2188
36.62,43,154,0.0026,0.25,0,0.188836262,0.2322
36.62,35,0,0.0026,0.15,1,0.188836262,0.6914
36.62,36,0,0.0026,0.2,1,0.188836262,0.4551
36.62,37,0,0.0026,1.2,1,0.188836262,0.873
36.62,33,35,0.0026,0.25,1,0.188836262,0.334
36.62,34,35,0.0026,0.25,1,0.188836262,0.2647
36.62,35,35,0.0026,0.82,1,0.188836262,0.2446
36.62,36,35,0.0026,0.78,1,0.188836262,0.2349
36.62,37,35,0.0026,1.65,1,0.188836262,0.2378
36.62,25,63,0.0026,0.05,1,0.188836262,0.5293
36.62,27,63,0.0026,0.65,1,0.188836262,0.5107
36.62,29,63,0.0026,1,1,0.188836262,0.4331
36.62,30,63,0.0026,0.15,1,0.188836262,0.3838
36.62,31,63,0.0026,0.3,1,0.188836262,0.3511
36.62,32,63,0.0026,0.38,1,0.188836262,0.3149
36.62,33,63,0.0026,0.31,1,0.188836262,0.25
36.62,34,63,0.0026,0.52,1,0.188836262,0.2432
36.62,35,63,0.0026,1.15,1,0.188836262,0.23
36.62,36,63,0.0026,4,1,0.188836262,0.2178
36.62,37,63,0.0026,1.35,1,0.188836262,0.2368
36.62,30,154,0.0026,0.5,1,0.188836262,0.2893
36.62,35,154,0.0026,1.65,1,0.188836262,0.2273
36.62,36,154,0.0026,2.05,1,0.188836262,0.2256
36.62,37,154,0.0026,2.55,1,0.188836262,0.2212
11.55,10,35,0.0026,1.6,0,0.895913038,0.7695
11.55,12.5,35,0.0026,0.85,0,0.895913038,0.8262
11.55,15,35,0.0026,0.75,0,0.895913038,0.8594
11.55,10,63,0.0026,1.9,0,0.895913038,0.7441
11.55,12.5,63,0.0026,0.95,0,0.895913038,0.75
11.55,15,63,0.0026,0.49,0,0.895913038,0.7705
11.55,17.5,63,0.0026,0.19,0,0.895913038,0.8125
11.55,20,63,0.0026,0.85,0,0.895913038,0.8594
11.55,22.5,63,0.0026,1.55,0,0.895913038,0.9336
11.55,10,154,0.0026,3,0,0.895913038,0.7383
11.55,12.5,154,0.0026,2.4,0,0.895913038,0.7412
11.55,17.5,154,0.0026,2.6,0,0.895913038,0.7324
11.55,20,154,0.0026,0.3,0,0.895913038,0.7412
11.55,25,154,0.0026,1.95,0,0.895913038,0.7539
11.55,7.5,35,0.0026,0.5,1,0.895913038,0.8789
11.55,7.5,63,0.0026,1.1,1,0.895913038,0.8008
11.55,10,63,0.0026,1.55,1,0.895913038,0.751
11.55,12.5,63,0.0026,2,1,0.895913038,0.7422
11.55,15,63,0.0026,2.1,1,0.895913038,0.7793
11.55,17.5,63,0.0026,3.8,1,0.895913038,0.7949
11.55,10,154,0.0026,1.7,1,0.895913038,0.7139
11.55,12.5,154,0.0026,2.8,1,0.895913038,0.7275
11.55,17.5,154,0.0026,5.9,1,0.895913038,0.7373
20.11,19,0,0.0026,0.91,0,0.209439609,0.5313
20.11,20,0,0.0026,0.03,0,0.209439609,0.0469
20.11,21,0,0.0026,0.01,0,0.209439609,0.875
20.11,18,35,0.0026,2.04,0,0.209439609,0.4531
20.11,19,35,0.0026,1.15,0,0.209439609,0.2627
20.11,20,35,0.0026,0.58,0,0.209439609,0.249
20.11,21,35,0.0026,0.18,0,0.209439609,0.2607
20.11,19,91,0.0026,0.96,0,0.209439609,0.2241
20.11,20,91,0.0026,0.5,0,0.209439609,0.2183
20.11,21,91,0.0026,0.35,0,0.209439609,0.2315
20.11,22,91,0.0026,0.33,0,0.209439609,0.2334
20.11,23,91,0.0026,0.25,0,0.209439609,0.3604
20.11,24,91,0.0026,0.51,0,0.209439609,0.4185
20.11,13,182,0.0026,6.6,0,0.209439609,0.7119
20.11,15,182,0.0026,4.44,0,0.209439609,0.3535
20.11,17,182,0.0026,3.5,0,0.209439609,0.2925
20.11,19,182,0.0026,1.95,0,0.209439609,0.2297
20.11,20,182,0.0026,1.01,0,0.209439609,0.2271
20.11,21,182,0.0026,0.6,0,0.209439609,0.2293
20.11,22,182,0.0026,0.3,0,0.209439609,0.23
20.11,25,182,0.0026,0.7,0,0.209439609,0.335
20.11,27,182,0.0026,0.15,0,0.209439609,0.4019
20.11,15,553,0.0026,5.7,0,0.209439609,0.2964
20.11,17,553,0.0026,3.28,0,0.209439609,0.2883
20.11,20,553,0.0026,1.45,0,0.209439609,0.2275
20.11,22,553,0.0026,1.08,0,0.209439609,0.2285
20.11,25,553,0.0026,1.5,0,0.209439609,0.2561
20.11,35,553,0.0026,0.55,0,0.209439609,0.4255
20.11,19,0,0.0026,0.07,1,0.209439609,0.9688
20.11,20,0,0.0026,0.37,1,0.209439609,0.5195
20.11,18,35,0.0026,0.25,1,0.209439609,0.4522
20.11,21,35,0.0026,1.43,1,0.209439609,0.3232
20.11,16,91,0.0026,0.15,1,0.209439609,0.5195
20.11,20,91,0.0026,1,1,0.209439609,0.2666
20.11,21,91,0.0026,1.5,1,0.209439609,0.2681
20.11,22,91,0.0026,2.4,1,0.209439609,0.2915
20.11,25,91,0.0026,3.65,1,0.209439609,0.9844
20.11,8,182,0.0026,0.21,1,0.209439609,0.5859
20.11,10,182,0.0026,0.25,1,0.209439609,0.5996
20.11,13,182,0.0026,0.1,1,0.209439609,0.5835
20.11,15,182,0.0026,0.35,1,0.209439609,0.437
20.11,16,182,0.0026,0.3,1,0.209439609,0.3687
20.11,17,182,0.0026,0.4,1,0.209439609,0.3149
20.11,20,182,0.0026,1.31,1,0.209439609,0.2603
20.11,21,182,0.0026,2.5,1,0.209439609,0.2632
20.11,22,182,0.0026,2.2,1,0.209439609,0.2954
20.11,25,182,0.0026,3.7,1,0.209439609,0.3447
20.11,10,553,0.0026,0.1,1,0.209439609,0.6152
20.11,13,553,0.0026,0.55,1,0.209439609,0.4341
20.11,17,553,0.0026,1.25,1,0.209439609,0.2805
20.11,20,553,0.0026,2.1,1,0.209439609,0.2571
20.11,22,553,0.0026,4,1,0.209439609,0.2838
20.11,25,553,0.0026,5.7,1,0.209439609,0.2949
73.45,70,0,0.0026,3.6,0,0.156078621,0.9297
73.45,75,0,0.0026,0.04,0,0.156078621,0.2734
73.45,65,35,0.0026,5.45,0,0.156078621,0.3452
73.45,70,35,0.0026,1.9,0,0.156078621,0.2334
73.45,75,35,0.0026,0.9,0,0.156078621,0.1707
73.45,65,91,0.0026,8.06,0,0.156078621,0.242
73.45,70,91,0.0026,4.03,0,0.156078621,0.1879
73.45,75,91,0.0026,1.6,0,0.156078621,0.1558
73.45,80,91,0.0026,0.92,0,0.156078621,0.1619
73.45,85,91,0.0026,0.15,0,0.156078621,0.2202
73.45,90,91,0.0026,0.5,0,0.156078621,0.281
73.45,65,182,0.0026,6,0,0.156078621,0.2036
73.45,70,182,0.0026,4.9,0,0.156078621,0.1774
73.45,75,182,0.0026,2.3,0,0.156078621,0.1639
73.45,80,182,0.0026,0.95,0,0.156078621,0.1524
73.45,70,0,0.0026,1.1,1,0.156078621,0.6992
73.45,75,0,0.0026,2.35,1,0.156078621,0.6582
73.45,65,35,0.0026,0.7,1,0.156078621,0.3418
73.45,70,35,0.0026,0.65,1,0.156078621,0.2095
73.45,60,91,0.0026,0.3,1,0.156078621,0.3179
73.45,65,91,0.0026,1.1,1,0.156078621,0.2463
73.45,70,91,0.0026,1.75,1,0.156078621,0.2067
73.45,75,91,0.0026,2.5,1,0.156078621,0.1996
73.45,80,91,0.0026,11.4,1,0.156078621,0.2308
73.45,85,91,0.0026,8.8,1,0.156078621,0.3053
73.45,100,91,0.0026,22.4,1,0.156078621,0.6624
73.45,55,182,0.0026,0.55,1,0.156078621,0.3037
73.45,60,182,0.0026,1,1,0.156078621,0.2583
73.45,65,182,0.0026,1.4,1,0.156078621,0.2241
73.45,70,182,0.0026,3.02,1,0.156078621,0.2162
73.45,75,182,0.0026,4.66,1,0.156078621,0.2043
73.45,80,182,0.0026,6,1,0.156078621,0.2142
7.17,7.5,0,0.0026,0.25,0,0.706962799,0.5703
7.17,6,35,0.0026,1.75,0,0.706962799,0.8633
7.17,7,35,0.0026,1.2,0,0.706962799,0.8398
7.17,8,35,0.0026,0.55,0,0.706962799,0.8438
7.17,9,35,0.0026,0.3,0,0.706962799,0.8477
7.17,10,35,0.0026,0.2,0,0.706962799,0.8594
7.17,11,35,0.0026,0.25,0,0.706962799,0.8867
7.17,6,91,0.0026,1.5,0,0.706962799,0.7344
7.17,7,91,0.0026,1.35,0,0.706962799,0.7227
7.17,8,91,0.0026,0.75,0,0.706962799,0.7441
7.17,9,91,0.0026,0.6,0,0.706962799,0.7295
7.17,10,91,0.0026,0.4,0,0.706962799,0.7148
7.17,11,91,0.0026,0.2,0,0.706962799,0.6992
7.17,12,91,0.0026,0.5,0,0.706962799,0.7422
7.17,14,91,0.0026,0.05,0,0.706962799,0.8281
7.17,15,91,0.0026,0.1,0,0.706962799,0.8516
7.17,16,91,0.0026,0.35,0,0.706962799,0.9531
7.17,5,182,0.0026,2.6,0,0.706962799,0.7432
7.17,6,182,0.0026,2.25,0,0.706962799,0.7148
7.17,7.5,182,0.0026,1.5,0,0.706962799,0.7158
7.17,9,182,0.0026,1,0,0.706962799,0.7139
7.17,10,182,0.0026,0.65,0,0.706962799,0.707
7.17,11,182,0.0026,0.4,0,0.706962799,0.668
7.17,12.5,182,0.0026,0.35,0,0.706962799,0.6875
7.17,14,182,0.0026,0.25,0,0.706962799,0.6621
7.17,15,182,0.0026,0.2,0,0.706962799,0.6621
7.17,17.5,182,0.0026,0.14,0,0.706962799,0.7344
7.17,20,182,0.0026,0.25,0,0.706962799,0.8438
7.17,22.5,182,0.0026,0.05,0,0.706962799,0.8828
7.17,25,182,0.0026,0.11,0,0.706962799,0.8633
7.17,2.5,553,0.0026,6.52,0,0.706962799,0.7871
7.17,5,553,0.0026,3.36,0,0.706962799,0.7227
7.17,7.5,553,0.0026,2.2,0,0.706962799,0.6768
7.17,10,553,0.0026,1.47,0,0.706962799,0.6675
7.17,12.5,553,0.0026,1.2,0,0.706962799,0.6426
7.17,15,553,0.0026,0.6,0,0.706962799,0.6377
7.17,20,553,0.0026,1.15,0,0.706962799,0.6123
7.17,25,553,0.0026,0.25,0,0.706962799,0.6231
7.17,30,553,0.0026,0.13,0,0.706962799,0.6211
7.17,7.5,0,0.0026,0.05,1,0.706962799,0.6406
7.17,6,35,0.0026,0.21,1,0.706962799,0.8477
7.17,7,35,0.0026,0.7,1,0.706962799,0.8555
7.17,8,35,0.0026,1.2,1,0.706962799,0.8262
7.17,9,35,0.0026,1.71,1,0.706962799,0.8555
7.17,10,35,0.0026,2.82,1,0.706962799,0.8672
7.17,5,91,0.0026,0.2,1,0.706962799,0.7656
7.17,6,91,0.0026,0.5,1,0.706962799,0.748
